sample	file
SPECS_5075	/SPECS_5075.capture_S318.hg38.cram
SPECS_5077	/SPECS_5077.capture_S318.hg38.cram
SPECS_5078	/SPECS_5078.capture_S318.hg38.cram
SPECS_5084	/SPECS_5084.capture_S318.hg38.cram
SPECS_5085	/SPECS_5085.capture_S318.hg38.cram
SPECS_5089	/SPECS_5089.capture_S318.hg38.cram
SPECS_5090	/SPECS_5090.capture_S318.hg38.cram
SPECS_5197	/SPECS_5197.capture_S318.hg38.cram
SPECS_5198	/SPECS_5198.capture_S318.hg38.cram
SPECS_5222	/SPECS_5222.capture_S318.hg38.cram
SPECS_5224	/SPECS_5224.capture_S318.hg38.cram
SPECS_5225	/SPECS_5225.capture_S318.hg38.cram
SPECS_5296	/SPECS_5296.capture_S318.hg38.cram
SPECS_5300	/SPECS_5300.capture_S318.hg38.cram
SPECS_5305	/SPECS_5305.capture_S318.hg38.cram
SPECS_5318	/SPECS_5318.capture_S318.hg38.cram
SPECS_5320	/SPECS_5320.capture_S318.hg38.cram
SPECS_5321	/SPECS_5321.capture_S318.hg38.cram
SPECS_5322	/SPECS_5322.capture_S318.hg38.cram
SPECS_5323	/SPECS_5323.capture_S318.hg38.cram
SPECS_5324	/SPECS_5324.capture_S318.hg38.cram
SPECS_5325	/SPECS_5325.capture_S318.hg38.cram
SPECS_5326	/SPECS_5326.capture_S318.hg38.cram
SPECS_5327	/SPECS_5327.capture_S318.hg38.cram
SPECS_5330	/SPECS_5330.capture_S318.hg38.cram
SPECS_5331	/SPECS_5331.capture_S318.hg38.cram
SPECS_5333	/SPECS_5333.capture_S318.hg38.cram
SPECS_5334	/SPECS_5334.capture_S318.hg38.cram
SPECS_5335	/SPECS_5335.capture_S318.hg38.cram
SPECS_5336	/SPECS_5336.capture_S318.hg38.cram
SPECS_5337	/SPECS_5337.capture_S318.hg38.cram
SPECS_5338	/SPECS_5338.capture_S318.hg38.cram
SPECS_5340	/SPECS_5340.capture_S318.hg38.cram
SPECS_5341	/SPECS_5341.capture_S318.hg38.cram
SPECS_5342	/SPECS_5342.capture_S318.hg38.cram
SPECS_5343	/SPECS_5343.capture_S318.hg38.cram
SPECS_5344	/SPECS_5344.capture_S318.hg38.cram
SPECS_5345	/SPECS_5345.capture_S318.hg38.cram
SPECS_5357	/SPECS_5357.capture_S318.hg38.cram
SPECS_5358	/SPECS_5358.capture_S318.hg38.cram
SPECS_5359	/SPECS_5359.capture_S318.hg38.cram
SPECS_5413	/SPECS_5413.capture_S318.hg38.cram
SPECS_5505	/SPECS_5505.capture_S318.hg38.cram
SPECS_5507	/SPECS_5507.capture_S318.hg38.cram
SPECS_5508	/SPECS_5508.capture_S318.hg38.cram
SPECS_5513	/SPECS_5513.capture_S318.hg38.cram
SPECS_5514	/SPECS_5514.capture_S318.hg38.cram
SPECS_5552	/SPECS_5552.capture_S318.hg38.cram
SPECS_5556	/SPECS_5556.capture_S318.hg38.cram
SPECS_5557	/SPECS_5557.capture_S318.hg38.cram
SPECS_5558	/SPECS_5558.capture_S318.hg38.cram
SPECS_5562	/SPECS_5562.capture_S318.hg38.cram
SPECS_5564	/SPECS_5564.capture_S318.hg38.cram
SPECS_5676	/SPECS_5676.capture_S318.hg38.cram
